Round,Loss,Accuracy,F1_score,Kappa,ROC_auc
1, 1.892031608298183,  0.3417,  0.3045204639473022,  0.26855555555555544,  0.7907518222222223
2, 1.7438358666416935,  0.3834,  0.36424357524534745,  0.3148888888888889,  0.8215057166666666
3, 1.637364914242071,  0.4126,  0.39079174989912024,  0.34733333333333305,  0.8455002555555555
4, 1.5783215227980203,  0.4256,  0.405502174667937,  0.36177777777777764,  0.8597673944444445
5, 1.5262250332786633,  0.4554,  0.4436327004171072,  0.39488888888888884,  0.8676323111111112
6, 1.484526658591371,  0.4721,  0.4599691647942607,  0.4134444444444446,  0.8744407666666667
7, 1.466562766236619,  0.4741,  0.45727268788477027,  0.4156666666666665,  0.8791077055555554
8, 1.4415224558248307,  0.4837,  0.4752855179911603,  0.4263333333333331,  0.8830065666666667
9, 1.414589870090302,  0.4992,  0.49070087235818144,  0.4435555555555556,  0.88707135
10, 1.398505465672039,  0.5046,  0.49626504454484266,  0.4495555555555557,  0.8894623777777777
11, 1.3802918218576108,  0.5145,  0.5063762639927967,  0.4605555555555555,  0.8924017777777777
12, 1.3764770924092862,  0.5111,  0.49876819477100864,  0.4567777777777777,  0.8943872611111111
13, 1.33913440807178,  0.5287,  0.5173449531001062,  0.4763333333333335,  0.89867565
14, 1.312719289106302,  0.5442,  0.5360276366718119,  0.4935555555555555,  0.9016513500000001
15, 1.3215629298466083,  0.534,  0.5232021741948631,  0.4822222222222221,  0.9019508388888889
16, 1.2944897533224795,  0.5454,  0.5366367004284995,  0.49488888888888904,  0.9048858333333334
17, 1.2792890679341156,  0.5536,  0.544865280165816,  0.5040000000000001,  0.9073705222222224
18, 1.2922681882358587,  0.5442,  0.537937656523618,  0.4935555555555555,  0.9073778333333335
19, 1.271357916033687,  0.5558,  0.5470791794367462,  0.5064444444444445,  0.9093575777777778
20, 1.2395711744936129,  0.5679,  0.5625715556028629,  0.5198888888888888,  0.912603877777778
21, 1.2552153035855522,  0.5566,  0.5494075088768481,  0.5073333333333334,  0.9123357722222222
22, 1.2311701066196916,  0.5674,  0.5625659659982055,  0.5193333333333334,  0.9157182222222223
23, 1.219577860527526,  0.5757,  0.5646062429830357,  0.5285555555555556,  0.9164027555555556
24, 1.2338969513250235,  0.5678,  0.5575809655435905,  0.5197777777777779,  0.9161819944444444
25, 1.223563101344977,  0.5701,  0.562315002752255,  0.5223333333333333,  0.9180439666666667
26, 1.2005143529310014,  0.58,  0.5749614093541731,  0.5333333333333333,  0.9193838666666666
27, 1.1894078926918226,  0.5821,  0.5785972968549171,  0.5356666666666665,  0.9211722777777778
28, 1.171944395612223,  0.5918,  0.5810291053093644,  0.5464444444444445,  0.9237214555555555
29, 1.1865805979734791,  0.5835,  0.5790671381606354,  0.537222222222222,  0.9228435944444444
30, 1.1600809057299701,  0.5956,  0.5934750955565383,  0.5506666666666666,  0.9249002277777777
31, 1.1680121779822694,  0.591,  0.5858049503855901,  0.5455555555555556,  0.925548738888889
32, 1.1533338878863155,  0.5983,  0.5966350179915951,  0.5536666666666665,  0.9259490333333333
33, 1.1325856982328641,  0.6073,  0.6037754451233875,  0.5636666666666666,  0.9273246111111112
34, 1.1520982653188248,  0.5982,  0.5903671307871825,  0.5535555555555555,  0.9267407222222224
35, 1.1318305492781984,  0.6044,  0.6025664735819184,  0.5604444444444446,  0.9284392555555554
36, 1.1415136563130461,  0.5974,  0.5980185975327074,  0.5526666666666666,  0.9285959277777778
37, 1.1166087665116062,  0.6093,  0.6022464400264574,  0.5658888888888889,  0.9306465555555556
38, 1.0940909953163074,  0.6226,  0.6203914913597526,  0.5806666666666667,  0.9314894333333331
39, 1.113728817469015,  0.6146,  0.6125182239069255,  0.5717777777777779,  0.9306202055555554
40, 1.1234058044588984,  0.6119,  0.6056810315634745,  0.5687777777777778,  0.9315672111111113
41, 1.10998505753831,  0.6154,  0.6118566278477321,  0.5726666666666668,  0.9315532
42, 1.1007431907394825,  0.619,  0.6116292624511763,  0.5766666666666668,  0.932483822222222
43, 1.0770917011145205,  0.625,  0.6203508204944573,  0.5833333333333333,  0.9336377777777779
44, 1.1106104528942047,  0.6131,  0.6077483659983913,  0.5701111111111111,  0.9314180500000001
45, 1.0930398715951573,  0.6223,  0.6184010596596152,  0.5803333333333333,  0.9335963666666667
46, 1.0795842262502677,  0.6245,  0.6210036977164698,  0.5827777777777778,  0.9345566611111111
47, 1.1115385156850845,  0.6147,  0.6071887494016421,  0.5718888888888888,  0.9324582888888887
48, 1.0552458382262209,  0.6391,  0.6358109880270884,  0.5990000000000001,  0.9359355444444445
49, 1.0667169872945108,  0.6283,  0.6258608100318377,  0.5870000000000001,  0.9353813222222221
50, 1.061976090025978,  0.6335,  0.6319177781344212,  0.5927777777777776,  0.936348038888889
