Round,Loss,Accuracy,F1_score,Kappa,ROC_auc
1, 2.4269595801259003,  0.1109,  0.03609349017904759,  0.012111111111111295,  0.6644609888888888
2, 2.452149008790525,  0.1636,  0.08767035054777302,  0.07066666666666688,  0.6967169166666667
3, 2.3433329137369467,  0.1962,  0.1276171047844872,  0.1068888888888887,  0.7341348333333333
4, 2.2434430194738955,  0.2169,  0.1463063481913272,  0.12988888888888905,  0.7566447500000001
5, 2.1551794773473527,  0.2311,  0.16035191122996198,  0.1456666666666665,  0.779486522222222
6, 2.1381507788222436,  0.2386,  0.1669439668289752,  0.1539999999999998,  0.7921980222222222
7, 2.0443819498482605,  0.2574,  0.1869598095809922,  0.17488888888888876,  0.8029772666666666
8, 1.9915116758773121,  0.2627,  0.1953741280625684,  0.18077777777777793,  0.8096712333333332
9, 2.0031971786730587,  0.2721,  0.20427710894246048,  0.19122222222222207,  0.8148051055555555
10, 2.0095265414387273,  0.2773,  0.2092967739640712,  0.19699999999999984,  0.8176291777777778
11, 1.9319836156436812,  0.289,  0.21722945782544753,  0.20999999999999985,  0.8251866555555555
12, 1.9256690679647672,  0.3075,  0.230590797699093,  0.2305555555555554,  0.8292566499999999
13, 1.8987935511068033,  0.3046,  0.23369833845977994,  0.22733333333333317,  0.8326665166666668
14, 1.8711835256399818,  0.3093,  0.23862422926370877,  0.23255555555555552,  0.83293465
15, 1.8154277024558558,  0.3169,  0.24977255767036036,  0.2410000000000001,  0.8388529333333332
16, 1.8334311551560227,  0.3187,  0.25244361093440215,  0.243,  0.8413026388888889
17, 1.8729819882030305,  0.3126,  0.24580240145471627,  0.23622222222222233,  0.8410146722222223
18, 1.779307744754389,  0.3327,  0.27468480179493443,  0.25855555555555587,  0.8453652833333333
19, 1.7801315140800353,  0.3401,  0.27713897185193315,  0.2667777777777778,  0.8494608166666666
20, 1.76203907297823,  0.3411,  0.27720279448580015,  0.26788888888888884,  0.8498485666666667
21, 1.7847762561072937,  0.3375,  0.2679288292744391,  0.26388888888888884,  0.8509371388888891
22, 1.821172508187949,  0.3256,  0.26454030646672827,  0.2506666666666667,  0.8479878444444445
23, 1.7704457307395083,  0.3463,  0.2827257488942334,  0.27366666666666684,  0.8547336111111111
24, 1.7418737106810744,  0.3508,  0.2875683439036786,  0.2786666666666664,  0.8552412444444444
25, 1.7213543409737535,  0.3569,  0.2935206226815209,  0.2854444444444443,  0.8572949555555557
26, 1.7764088951360684,  0.3399,  0.2787431407962654,  0.26655555555555555,  0.8541195666666667
27, 1.6649476095510367,  0.3786,  0.32140781831481735,  0.3095555555555556,  0.8618949222222222
28, 1.6803139257735717,  0.3691,  0.31381843213472926,  0.2989999999999998,  0.8618842333333333
29, 1.6663976385951422,  0.3789,  0.3161654913567016,  0.3098888888888889,  0.8644176444444444
30, 1.6523357485049068,  0.3837,  0.32583985724809816,  0.3152222222222222,  0.8663962055555556
31, 1.6998385986961877,  0.3587,  0.30254458427758923,  0.2874444444444443,  0.8613379333333334
32, 1.6715433182426915,  0.3771,  0.3194534038350567,  0.30788888888888866,  0.8655107944444443
33, 1.645980000876771,  0.3815,  0.3264244864112922,  0.3127777777777776,  0.8677634722222223
34, 1.6683381925375698,  0.3738,  0.31435859580657444,  0.3042222222222225,  0.8659371777777778
35, 1.6384345761503274,  0.3885,  0.3350242880320226,  0.32055555555555537,  0.8696144666666668
36, 1.6731045474640478,  0.3704,  0.3202564866853205,  0.3004444444444444,  0.8662312555555556
37, 1.616044472200802,  0.3967,  0.3420448915541409,  0.32966666666666655,  0.8720406111111112
38, 1.5996504313648698,  0.3953,  0.3504187333711744,  0.32811111111111135,  0.8704176111111112
39, 1.5780387385584675,  0.4119,  0.3576435995642292,  0.3465555555555553,  0.8747427944444445
40, 1.575319908297481,  0.4073,  0.36523743822831,  0.34144444444444455,  0.8738644111111112
41, 1.601265519190901,  0.4006,  0.35720734632905127,  0.3340000000000003,  0.8732672666666668
42, 1.6247492175513563,  0.3961,  0.3433249652996219,  0.32899999999999996,  0.8745375611111111
43, 1.5783752233456498,  0.412,  0.36285529889114815,  0.3466666666666668,  0.8771331333333332
44, 1.5655574452001066,  0.417,  0.36776674804957976,  0.35222222222222244,  0.878170411111111
45, 1.5505801856327361,  0.4163,  0.3779858212180931,  0.35144444444444445,  0.8771748888888888
46, 1.567591006763446,  0.4162,  0.37533387838738375,  0.3513333333333335,  0.8780817944444443
47, 1.5687404191151213,  0.4175,  0.3719878583370452,  0.35277777777777775,  0.8775677777777778
48, 1.5685810934240445,  0.4141,  0.37290837211942396,  0.34899999999999975,  0.8794039055555556
49, 1.4980382189963952,  0.4472,  0.4080620519924459,  0.38577777777777766,  0.8826134166666666
50, 1.5933126416830972,  0.4083,  0.3671454205343199,  0.34255555555555584,  0.8794896555555555
