Round,Loss,Accuracy,F1_score,Kappa,ROC_auc
1, 2.3711625440433,  0.1226,  0.05812818452681159,  0.025111111111111084,  0.6275004222222222
2, 2.284640252399749,  0.1956,  0.1047024980637508,  0.10622222222222222,  0.68838915
3, 2.19767331696166,  0.2086,  0.1288917633661151,  0.12066666666666681,  0.7292203333333334
4, 2.137453052182548,  0.244,  0.17714958042357457,  0.16000000000000003,  0.7572386944444445
5, 2.064937198504853,  0.2541,  0.1933094157418745,  0.1712222222222224,  0.7769894166666667
6, 2.016358643675003,  0.2956,  0.24521987885036803,  0.2173333333333336,  0.7922372333333333
7, 1.9483813851024396,  0.3065,  0.25807003709492005,  0.22944444444444445,  0.8063175111111113
8, 1.9335921899960065,  0.3039,  0.25023316718432753,  0.2265555555555555,  0.8140844055555554
9, 1.9203011658245002,  0.3069,  0.25394780120980254,  0.22988888888888903,  0.820392888888889
10, 1.8803077220155027,  0.3178,  0.26245119504934505,  0.24199999999999988,  0.8276263
11, 1.8331090310891978,  0.3298,  0.27707728585527963,  0.25533333333333363,  0.8336577944444444
12, 1.8146943878441955,  0.3408,  0.2993442112659258,  0.26755555555555566,  0.8359849
13, 1.7978369595524601,  0.3631,  0.3158809929888973,  0.29233333333333344,  0.8406427722222223
14, 1.7672528165597885,  0.3631,  0.31399313802244966,  0.29233333333333333,  0.8448920222222223
15, 1.7742317473164761,  0.3642,  0.32961231372772754,  0.29355555555555557,  0.8441219444444444
16, 1.738311855556866,  0.3745,  0.3352736330201505,  0.30500000000000005,  0.849825711111111
17, 1.73103927461484,  0.3784,  0.33214997167685084,  0.30933333333333324,  0.8531016222222222
18, 1.7228367477179336,  0.3743,  0.3446679610357578,  0.3047777777777776,  0.8522751888888888
19, 1.6927825147732378,  0.3872,  0.348865827565187,  0.31911111111111123,  0.8556278444444445
20, 1.7013360787504397,  0.395,  0.3580936020382023,  0.3277777777777776,  0.8580169611111111
21, 1.6579681810098714,  0.3965,  0.3556259040016495,  0.32944444444444443,  0.8610401222222223
22, 1.659604242434517,  0.3977,  0.3528980601452735,  0.3307777777777777,  0.8640088777777777
23, 1.6275184840059127,  0.4143,  0.37839312654186974,  0.349222222222222,  0.8655057944444445
24, 1.6750809022793756,  0.3868,  0.3464482120157469,  0.31866666666666654,  0.8652328166666667
25, 1.6650945968902149,  0.4011,  0.36803443037493466,  0.3345555555555556,  0.8646519777777778
26, 1.6103517856841651,  0.4247,  0.39125751558832134,  0.36077777777777753,  0.8687704166666667
27, 1.6226046214850185,  0.419,  0.3896062890269133,  0.35444444444444434,  0.8693836666666666
28, 1.600006688897983,  0.4266,  0.392661106765484,  0.3628888888888889,  0.8722935555555555
29, 1.6219174675286387,  0.4211,  0.3867934862044393,  0.35677777777777786,  0.8717064722222222
30, 1.5787170786446276,  0.4355,  0.4036548384847607,  0.37277777777777776,  0.8746293666666667
31, 1.5919889124056783,  0.4244,  0.39137659165944416,  0.36044444444444423,  0.8741553444444445
32, 1.568195561631419,  0.444,  0.412258376681918,  0.38222222222222235,  0.8752932111111111
33, 1.5529189250720576,  0.4451,  0.4138030568689756,  0.38344444444444414,  0.8784022222222223
34, 1.5462490716300452,  0.4484,  0.41597670667461184,  0.38711111111111096,  0.8797719833333334
35, 1.55455460258947,  0.4377,  0.4091989256313143,  0.37522222222222235,  0.8784507722222221
36, 1.5854121119069595,  0.4298,  0.39947019651657323,  0.3664444444444447,  0.8761246999999999
37, 1.5398223700995644,  0.4517,  0.4199342747138391,  0.3907777777777778,  0.8808823333333334
38, 1.5504528032705045,  0.4552,  0.42667250127373135,  0.3946666666666665,  0.8806758166666666
39, 1.533834246400827,  0.4539,  0.4272075542715137,  0.39322222222222203,  0.8808916888888889
40, 1.534149788058223,  0.4542,  0.42302363584385533,  0.39355555555555544,  0.8825045555555556
41, 1.5485920502354924,  0.4487,  0.422458238154249,  0.3874444444444445,  0.8827168500000001
42, 1.5300744528206773,  0.4473,  0.41616645028555677,  0.38588888888888906,  0.8844553111111111
43, 1.5390787326489774,  0.4519,  0.4262789297936592,  0.3910000000000001,  0.882675411111111
44, 1.5262093486877295,  0.456,  0.42608409205355385,  0.39555555555555566,  0.8850891888888889
45, 1.5417391770183089,  0.4486,  0.41485634777206837,  0.3873333333333331,  0.8856630611111111
46, 1.4762153553124815,  0.4727,  0.44760963709462215,  0.4141111111111113,  0.8875826055555555
47, 1.5077687292434157,  0.4601,  0.4278222192121204,  0.40011111111111086,  0.8887674000000001
48, 1.481956312450738,  0.4693,  0.4435673310707668,  0.4103333333333332,  0.8888105888888889
49, 1.4761698284088232,  0.4777,  0.44698676489592426,  0.41966666666666674,  0.8899697166666666
50, 1.5123162578089169,  0.4597,  0.43335942825614826,  0.39966666666666684,  0.8882959444444445
