Round,Loss,Accuracy,F1_score,Kappa,ROC_auc
1, 2.399854171771211,  0.1202,  0.03980485886716616,  0.0224444444444446,  0.6817001222222222
2, 2.3389331502274584,  0.1613,  0.08195428452650355,  0.0681111111111109,  0.7070110166666667
3, 2.2810106753541257,  0.1781,  0.10084124768669815,  0.08677777777777773,  0.7187384611111112
4, 2.208944499302215,  0.1869,  0.11687677626467596,  0.0965555555555555,  0.7366764666666666
5, 2.170101129208891,  0.199,  0.12649782405914015,  0.11000000000000021,  0.7381916277777778
6, 2.198837745303925,  0.1879,  0.11476770668319958,  0.09766666666666646,  0.7439921944444445
7, 2.132742558043605,  0.1965,  0.13131711723184852,  0.10722222222222222,  0.7499823833333334
8, 2.1655983631603255,  0.1892,  0.12062062926991571,  0.09911111111111115,  0.7536977833333334
9, 2.144406460344601,  0.1958,  0.13327605987265412,  0.10644444444444445,  0.7587952166666667
10, 2.076012996438974,  0.2188,  0.1673798074666263,  0.132,  0.76604715
11, 2.103076481209776,  0.2131,  0.16137692209679916,  0.12566666666666682,  0.766010288888889
12, 2.050902049381512,  0.2235,  0.1764285819169934,  0.13722222222222236,  0.7720040555555554
13, 2.0760223199003423,  0.2232,  0.16667918091804754,  0.13688888888888906,  0.7759431388888889
14, 2.0759767511020453,  0.2302,  0.1788794108793335,  0.1446666666666665,  0.7800712611111111
15, 2.1185331409350754,  0.2117,  0.1505937296115613,  0.12411111111111095,  0.7751664111111112
16, 2.0452090105690512,  0.2275,  0.17933879250326193,  0.14166666666666683,  0.7814400222222222
17, 2.060073286199722,  0.2212,  0.16901571996535106,  0.1346666666666665,  0.7850565777777778
18, 2.01975640245139,  0.2345,  0.18801251954002257,  0.14944444444444427,  0.786679211111111
19, 1.9964594730553917,  0.2464,  0.2023287901346757,  0.16266666666666663,  0.7919561277777778
20, 2.029162816727123,  0.2368,  0.1854696119387908,  0.1519999999999998,  0.7913183888888888
21, 2.0029287848609707,  0.245,  0.19634232688765316,  0.1611111111111111,  0.7941123611111112
22, 1.987184178714935,  0.2455,  0.19713611799720449,  0.16166666666666663,  0.7977259111111111
23, 2.005488400261242,  0.2425,  0.1894792713471905,  0.15833333333333333,  0.7976243222222223
24, 2.0021201391189622,  0.243,  0.195434103184084,  0.15888888888888908,  0.7901026777777778
25, 1.9871903646487397,  0.2512,  0.201590458471741,  0.16800000000000015,  0.7975346277777777
26, 1.9867028534983675,  0.2428,  0.19356466718746437,  0.15866666666666684,  0.8037973777777777
27, 2.0067568331861647,  0.2448,  0.19164930079117035,  0.16088888888888875,  0.8003863333333333
28, 1.970070721623235,  0.2622,  0.21717009795789796,  0.18022222222222206,  0.8047415777777778
29, 1.9843888823597575,  0.2485,  0.20065632177081047,  0.1649999999999998,  0.8080736
30, 1.9966822009497938,  0.255,  0.205999328482529,  0.17222222222222205,  0.7999567055555555
31, 1.951288402270966,  0.2687,  0.22320324645626505,  0.1874444444444444,  0.8083214111111111
32, 1.9938838737079512,  0.2585,  0.2024804232530571,  0.1761111111111111,  0.8087567944444445
33, 1.980763926673621,  0.2599,  0.2043533776934273,  0.17766666666666653,  0.8090662222222222
34, 1.9296310587812917,  0.2769,  0.23622161085103682,  0.1965555555555557,  0.8063206333333334
35, 1.9381351592822578,  0.2804,  0.233870675924849,  0.20044444444444465,  0.8077029388888889
36, 1.9345348509736717,  0.2862,  0.23976995463116238,  0.2068888888888889,  0.8118594555555555
37, 1.9918884328379036,  0.2598,  0.20717938935381244,  0.17755555555555536,  0.8061853555555556
38, 1.9554791522863955,  0.2727,  0.2219459857000013,  0.1918888888888889,  0.8100928777777778
39, 1.9992390825344732,  0.2671,  0.2170710107948502,  0.18566666666666687,  0.8084067777777779
40, 1.9139783873725622,  0.2894,  0.24695411467257872,  0.21044444444444432,  0.8118994166666667
41, 1.9244420802631317,  0.2927,  0.24891658363692315,  0.21411111111111114,  0.8146733666666666
42, 1.893527726014963,  0.2962,  0.2554605742261908,  0.2180000000000002,  0.8149753222222224
43, 1.9185813436873804,  0.2939,  0.2510351740681908,  0.21544444444444455,  0.8161703444444444
44, 1.908514121469979,  0.306,  0.26053238834450987,  0.22888888888888892,  0.8158051944444444
45, 1.9154840273598133,  0.3036,  0.2596544116178285,  0.2262222222222221,  0.8169834277777778
46, 1.8910946270909172,  0.3001,  0.2608530565994288,  0.22233333333333316,  0.8169711222222222
47, 1.8886429079043598,  0.3029,  0.25953023862731434,  0.22544444444444445,  0.8175582111111112
48, 1.9000493295657368,  0.305,  0.26408081953096335,  0.22777777777777775,  0.8187371777777779
49, 1.9332750651021353,  0.2948,  0.2463216367920765,  0.21644444444444455,  0.8162729777777779
50, 1.8384639569364798,  0.3317,  0.2982823171165825,  0.2574444444444446,  0.8210598500000001
